,Alveolar epithelial cells (Lung),B Cell,Endothelial Cell,Erythrocytes,Mast Cell,Mesenchymal Stem Cell,Myeloid Cell,Myoblast,Non-malignant mesenchymal/stromal population,Osteoblast (non malignant),Osteoblast_subcluster_0,Osteoblast_subcluster_1,Osteoblast_subcluster_2,Osteoblast_subcluster_3,Osteoblast_subcluster_4,Osteoblast_subcluster_5,Osteoclast,Plasma Cell,Plasmacytoid dendritic cells (pDCs),T/NK Cell
3292,0.0025284844,0.00041248192,0.0002064234,0.0044728643,0.00039601995,0.0018383221,2.2196686e-05,0.007815655,8.356845e-05,0.00019342045,0.000211156,0.00018891043,0.0004729067,0.001880745,0.0013506309,0.0012986143,0.0002822049,0.0006271612,0.0037794793,0.00047490303
3294,0.028881934,0.0006040679,0.032452848,0.005244896,0.008275812,0.0033194048,0.007749532,0.018366983,0.0080364905,0.0040265103,0.024464523,0.021289235,0.0217964,0.00787064,0.036341738,0.005341825,0.05426854,0.0005649401,0.0015989607,0.0016529843
3297,0.002493591,0.00034466034,0.00013492505,0.004756502,0.00035347955,0.00017914319,1.9338422e-05,0.005008339,0.00022485448,0.00025632692,0.0018503322,0.0023206153,0.00074818934,0.0006919485,0.0014875554,0.010945249,6.1412735e-05,0.0002818085,0.0016213855,2.167201e-05
3298,0.005982591,0.0005619329,0.0097399065,0.007460903,0.0005241268,0.030370839,0.0051265787,0.13864061,0.1361603,0.14161263,0.55669314,0.45746467,0.26733106,0.2488495,0.40911353,0.70740753,0.008773687,0.0011846041,0.003104704,0.0008777427
3300,0.0021338,0.0008853673,0.00022430326,0.0046080295,0.0003394179,0.0002640504,6.68642e-05,0.0046045613,0.004264025,0.0048542945,0.024671845,0.013354268,0.0068279635,0.0029875154,0.015199658,0.050367165,8.0181635e-05,0.00030630987,0.0015922326,2.642343e-05
3301,0.0049626483,0.00075126573,0.0012901411,0.010241772,0.00234532,0.0005828662,0.013661001,0.03569781,0.0038101138,0.0064830645,0.03336357,0.041904584,0.024193987,0.009944937,0.031274606,0.09635475,0.07973521,0.00036631754,0.016556732,0.00016183956
3302,0.02179036,0.010584489,0.024360122,0.01761748,0.02683292,0.049475722,0.0225321,0.06292902,0.018681206,0.01695861,0.06944608,0.15728717,0.05497862,0.048962053,0.07139453,0.08289961,0.04904868,0.0024783257,0.014464901,0.00360406
3303,0.058667682,0.008751382,0.015572153,0.0050786184,0.00675671,0.01516259,0.008869475,0.068842,0.015121036,0.019661529,0.07260368,0.08428037,0.062014952,0.04937221,0.06254323,0.10316456,0.03604365,0.0041864654,0.0047538453,0.0068386574
3304,0.0024064742,0.00077109004,0.009474859,0.005371536,0.00035762176,0.01883063,0.007576687,0.033253092,0.00107641,0.0043972167,0.0967238,0.13006113,0.0918323,0.092866845,0.08512623,0.16318327,0.11184958,0.0031228517,0.0029961956,3.3157743e-05
3305,0.16154465,0.008343179,0.25068247,0.031742547,0.196203,0.9966819,0.22765027,4.2090487,0.41951945,0.240995,0.9937518,1.0034451,0.54430425,2.005863,0.85942245,0.78459877,0.23521617,0.0315646,0.06585943,0.035794906
